month,day,height,numengs,time_of_day,season,phase_of_flt,damage,effect,sky,min_bird_struck,max_bird_struck,size,struck_combined,damage_combined,eng_fail
04,03,700,2,day,spring,approach,N,none,overcast,1,1,medium,TRUE,FALSE,0
08,15,100,2,dawn,summer,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,06,30,2,day,summer,climb,N,none,somecloud,2,10,small,TRUE,FALSE,0
04,29,10,2,day,spring,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
06,06,5,2,day,summer,climb,N,precautionarylanding,overcast,1,1,small,TRUE,FALSE,0
09,05,10,2,night,fall,approach,M?,none,nocloud,1,1,small,TRUE,TRUE,0
06,06,0,2,day,summer,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
04,21,10,2,day,spring,approach,N,none,somecloud,1,1,medium,TRUE,FALSE,0
09,20,0,2,day,fall,takeoffrun,U,none,somecloud,1,1,small,TRUE,FALSE,0
06,02,0,2,day,summer,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
03,01,0,2,dusk,spring,takeoffrun,N,none,overcast,1,1,small,TRUE,FALSE,0
04,15,0,2,day,spring,landingroll,N,none,somecloud,2,10,small,TRUE,FALSE,0
01,11,600,2,night,winter,approach,N,none,unknown,2,10,large,TRUE,FALSE,0
10,17,2400,2,night,fall,approach,N,none,unknown,1,1,unknown,TRUE,FALSE,0
07,24,0,2,day,summer,takeoffrun,N,none,unknown,1,1,small,TRUE,FALSE,0
07,05,300,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
05,18,1000,2,dusk,spring,approach,N,none,nocloud,1,1,medium,TRUE,FALSE,0
01,28,3000,2,night,winter,climb,M?,precautionarylanding,nocloud,1,1,medium,TRUE,TRUE,0
12,06,2000,2,night,winter,approach,M?,none,nocloud,2,10,medium,TRUE,TRUE,0
11,19,2000,2,night,fall,approach,N,none,nocloud,2,10,medium,TRUE,FALSE,0
12,12,1000,2,night,winter,climb,U,none,unknown,1,1,unknown,TRUE,FALSE,0
07,24,500,2,night,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
05,22,0,2,day,spring,takeoffrun,N,none,overcast,1,1,small,TRUE,FALSE,0
08,30,0,2,dawn,summer,landingroll,N,none,somecloud,2,10,small,TRUE,FALSE,0
08,03,1500,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
10,09,0,2,day,fall,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
05,01,0,2,day,spring,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
06,30,300,2,day,summer,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
10,14,0,2,day,fall,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
10,07,0,2,day,fall,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
08,11,50,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
09,14,0,2,day,fall,takeoffrun,U,none,nocloud,1,1,large,TRUE,FALSE,0
03,10,0,2,night,spring,landingroll,N,none,nocloud,1,1,medium,TRUE,FALSE,0
12,04,0,2,day,winter,takeoffrun,N,none,nocloud,1,1,large,TRUE,FALSE,0
10,14,2400,2,night,fall,approach,N,none,overcast,1,1,small,TRUE,FALSE,0
03,12,6000,2,night,spring,approach,M?,none,nocloud,1,1,large,TRUE,TRUE,0
09,04,0,2,day,fall,takeoffrun,U,none,overcast,1,1,medium,TRUE,FALSE,0
12,24,0,2,day,winter,landingroll,N,none,overcast,2,10,small,TRUE,FALSE,0
12,28,0,2,day,winter,takeoffrun,U,none,somecloud,1,1,small,TRUE,FALSE,0
11,07,200,2,day,fall,approach,N,none,unknown,1,1,small,TRUE,FALSE,0
04,27,20,2,day,spring,climb,N,none,somecloud,2,10,small,TRUE,FALSE,0
10,01,50,2,day,fall,approach,N,none,somecloud,11,100,small,TRUE,FALSE,0
04,25,10000,2,night,spring,descent,N,none,unknown,1,1,unknown,TRUE,FALSE,0
10,31,5,2,day,fall,approach,U,none,nocloud,2,10,small,TRUE,FALSE,0
12,10,0,1,day,winter,landingroll,N,none,somecloud,1,1,medium,TRUE,FALSE,0
11,10,0,1,day,fall,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
12,02,0,2,day,winter,takeoffrun,N,other,nocloud,11,100,small,TRUE,FALSE,0
08,27,0,2,dawn,summer,takeoffrun,N,none,somecloud,1,1,small,TRUE,FALSE,0
07,27,0,2,day,summer,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,21,0,2,day,summer,landingroll,N,none,somecloud,2,10,small,TRUE,FALSE,0
08,21,201,2,day,summer,climb,U,none,somecloud,2,10,small,TRUE,FALSE,0
08,16,0,2,dusk,summer,takeoffrun,N,none,somecloud,1,1,small,TRUE,FALSE,0
03,03,1500,1,day,spring,approach,M,precautionarylanding,overcast,1,1,large,TRUE,TRUE,0
07,21,0,2,day,summer,takeoffrun,N,none,unknown,2,10,small,TRUE,FALSE,0
07,23,100,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
11,13,0,2,night,fall,landingroll,N,none,unknown,1,1,unknown,TRUE,FALSE,0
05,23,500,1,day,spring,approach,N,none,nocloud,1,1,medium,TRUE,FALSE,0
05,02,0,2,day,spring,takeoffrun,N,precautionarylanding,nocloud,2,10,medium,TRUE,FALSE,0
04,05,300,1,night,spring,climb,N,precautionarylanding,somecloud,1,1,medium,TRUE,FALSE,0
03,19,0,2,day,spring,takeoffrun,N,none,unknown,1,1,small,TRUE,FALSE,0
12,26,50,2,day,winter,approach,N,none,unknown,1,1,small,TRUE,FALSE,0
10,10,900,1,day,fall,approach,M?,none,nocloud,1,1,medium,TRUE,TRUE,0
04,24,400,2,dawn,spring,approach,N,none,nocloud,1,1,medium,TRUE,FALSE,0
07,04,0,2,day,summer,landingroll,N,none,overcast,2,10,small,TRUE,FALSE,0
10,31,0,2,day,fall,landingroll,N,none,somecloud,2,10,medium,TRUE,FALSE,0
04,15,0,2,day,spring,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
05,04,4,2,day,spring,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
09,10,20,2,day,fall,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
10,24,2500,2,night,fall,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
08,13,0,2,dusk,summer,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
08,23,0,2,night,summer,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,01,300,2,day,summer,climb,U,none,somecloud,1,1,small,TRUE,FALSE,0
06,13,0,2,day,summer,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
07,23,0,2,day,summer,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
01,07,50,2,dusk,winter,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,22,0,2,dawn,summer,takeoffrun,U,none,somecloud,2,10,small,TRUE,FALSE,0
12,29,0,2,day,winter,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
04,06,100,2,day,spring,approach,N,none,somecloud,1,1,medium,TRUE,FALSE,0
06,17,0,2,day,summer,takeoffrun,N,none,overcast,2,10,small,TRUE,FALSE,0
08,01,0,2,day,summer,landingroll,N,none,nocloud,1,1,small,TRUE,FALSE,0
04,27,0,2,night,spring,landingroll,N,none,nocloud,1,1,large,TRUE,FALSE,0
10,15,3000,2,day,fall,climb,N,none,somecloud,1,1,medium,TRUE,FALSE,0
09,29,300,2,day,fall,approach,N,none,overcast,1,1,small,TRUE,FALSE,0
07,23,3000,2,day,summer,approach,M?,none,nocloud,1,1,small,TRUE,TRUE,0
03,27,0,2,day,spring,takeoffrun,U,none,unknown,2,10,small,TRUE,FALSE,0
05,13,0,2,day,spring,landingroll,N,none,unknown,1,1,unknown,TRUE,FALSE,0
10,12,1800,2,night,fall,approach,U,none,unknown,1,1,small,TRUE,FALSE,0
02,25,20,2,day,winter,approach,N,none,unknown,1,1,small,TRUE,FALSE,0
08,10,0,2,day,summer,landingroll,U,none,unknown,1,1,small,TRUE,FALSE,0
01,17,0,2,day,winter,landingroll,U,none,overcast,2,10,small,TRUE,FALSE,0
10,24,3000,2,night,fall,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
06,29,0,2,day,summer,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
02,12,10,2,dusk,winter,approach,M?,none,somecloud,2,10,small,TRUE,TRUE,0
07,10,200,2,day,summer,approach,N,none,somecloud,2,10,small,TRUE,FALSE,0
08,28,5,2,day,summer,approach,N,none,somecloud,1,1,large,TRUE,FALSE,0
08,02,0,2,day,summer,takeoffrun,N,none,somecloud,1,1,medium,TRUE,FALSE,0
05,22,0,2,night,spring,landingroll,N,none,unknown,1,1,small,TRUE,FALSE,0
10,14,0,2,day,fall,takeoffrun,U,none,unknown,1,1,small,TRUE,FALSE,0
